Ticker,Date,after-market,Surprise
MU,1/7/14,1,50.7
STZ,1/8/14,0,20.9
MON,1/8/14,0,5
GPN,1/8/14,1,3.9
AYI,1/9/14,0,13.3
JPM,1/14/14,0,2.1
WFC,1/14/14,0,1.7
FAST,1/15/14,0,-4.1
BAC,1/15/14,0,94
CSX,1/15/14,1,-2.8
KMI,1/15/14,1,-1.5
BLK,1/16/14,0,13.5
BBT,1/16/14,0,1.7
HBAN,1/16/14,0,9.2
UNH,1/16/14,0,0.4
PNC,1/16/14,0,11.9
GS,1/16/14,0,22.4
C,1/16/14,0,-13.7
PPG,1/16/14,0,4.6
SCHW,1/16/14,0,10.6
INTC,1/16/14,1,-1
PBCT,1/16/14,1,-0.5
AXP,1/16/14,1,-0.2
COF,1/16/14,1,-4.3
SWKS,1/16/14,1,1.4
SLB,1/17/14,0,2.1
STI,1/17/14,0,10.5
BK,1/17/14,0,0
GE,1/17/14,0,-0.7
CMA,1/17/14,0,3.6
MS,1/17/14,0,13.9
MTB,1/17/14,0,-8.9
RF,1/21/14,0,5
TRV,1/21/14,0,24.1
HAL,1/21/14,0,5.1
DAL,1/21/14,0,3.5
COL,1/21/14,0,1.8
VZ,1/21/14,0,1.4
JNJ,1/21/14,0,3.1
IBM,1/21/14,1,2.2
CA,1/21/14,1,18.1
XLNX,1/21/14,1,13.4
AMD,1/21/14,1,7.1
TXN,1/21/14,1,-0.9
TEL,1/22/14,0,6.6
TXT,1/22/14,0,1.4
UTX,1/22/14,0,3.3
MSI,1/22/14,0,3.2
TPR,1/22/14,0,-4.4
PH,1/22/14,0,-0.4
USB,1/22/14,0,1.6
NTRS,1/22/14,0,0.5
ABT,1/22/14,0,-0.3
NSC,1/22/14,0,8.9
FCX,1/22/14,0,5.3
GD,1/22/14,0,0.3
APH,1/22/14,0,6.5
PGR,1/22/14,0,-0.5
SYK,1/22/14,1,0.5
VAR,1/22/14,1,0.6
NFLX,1/22/14,1,20.1
URI,1/22/14,1,7.8
EBAY,1/22/14,1,0.7
WDC,1/22/14,1,5.1
FFIV,1/22/14,1,2.6
RJF,1/22/14,1,10.8
JEC,1/22/14,1,2.8
LMT,1/23/14,0,11.8
FITB,1/23/14,0,-2.4
KEY,1/23/14,0,13.4
BAX,1/23/14,0,0.6
ABC,1/23/14,0,2
UAL,1/23/14,0,10.2
MCD,1/23/14,0,0.5
LUV,1/23/14,0,13.8
UNP,1/23/14,0,2.5
JBHT,1/23/14,0,-2.7
ALK,1/23/14,1,2.8
SBUX,1/23/14,1,2
LEG,1/23/14,1,5.4
RMD,1/23/14,1,-3.9
ISRG,1/23/14,1,6.5
DFS,1/23/14,1,4.1
ETFC,1/23/14,1,4.7
JNPR,1/23/14,1,17.2
KLAC,1/23/14,1,6.5
MSFT,1/23/14,1,14
SWK,1/24/14,0,1.8
PG,1/24/14,0,0.9
HON,1/24/14,0,2.1
XRX,1/24/14,0,0.7
KMB,1/24/14,0,3.3
STT,1/24/14,0,-3.5
BMY,1/24/14,0,17.8
KSU,1/24/14,0,-5.9
GWW,1/24/14,0,-1
AEP,1/27/14,0,5.6
ROP,1/27/14,0,2.8
CAT,1/27/14,0,20.9
RCL,1/27/14,0,24.3
STX,1/27/14,1,-5
ZION,1/27/14,1,-2.6
AAPL,1/27/14,1,3.1
GLW,1/28/14,1,5.5
DHR,1/28/14,0,0.6
APD,1/28/14,0,0.5
HRS,1/28/14,0,7.8
AOS,1/28/14,0,0.8
PFE,1/28/14,0,5.5
CMCSA,1/28/14,0,-2.7
DHI,1/28/14,0,21.6
WAT,1/28/14,0,5.4
F,1/28/14,0,12.3
MLM,1/28/14,0,11
PNR,1/28/14,0,1.8
TROW,1/28/14,0,2.3
NEE,1/28/14,0,-1.6
AAL,1/28/14,0,6.9
ITW,1/28/14,0,0.8
NUE,1/28/14,0,14.7
TSS,1/28/14,1,1.7
EA,1/28/14,1,2.4
AMGN,1/28/14,1,7.8
T,1/28/14,1,4.7
CB,1/28/14,1,18.6
ILMN,1/28/14,1,1.6
ALB,1/28/14,1,3.3
AJG,1/28/14,1,-8.4
BXP,1/28/14,1,3.4
ANTM,1/29/14,0,-0.2
PX,1/29/14,0,0.1
MKC,1/29/14,0,0.8
BIIB,1/29/14,0,2.8
AME,1/29/14,0,1.3
ROK,1/29/14,0,6
MPC,1/29/14,0,82.3
HES,1/29/14,0,-10
SO,1/29/14,0,6
BA,1/29/14,0,19.2
VLO,1/29/14,0,13.2
PSX,1/29/14,0,21.9
QCOM,1/29/14,1,7.1
HBI,1/29/14,1,8.9
FBHS,1/29/14,1,-0.3
VRTX,1/29/14,1,157.2
SYMC,1/29/14,1,19.7
TSCO,1/29/14,1,4.9
LRCX,1/29/14,1,6.6
CDNS,1/29/14,1,0
CTXS,1/29/14,1,6.3
FB,1/29/14,1,1
DRE,1/29/14,1,5.8
AVB,1/29/14,1,3.2
SLG,1/29/14,1,1.8
WHR,1/30/14,0,-1.9
HP,1/30/14,0,6.6
TMO,1/30/14,0,4
XEL,1/30/14,0,4.5
BLL,1/30/14,0,18.5
PHM,1/30/14,0,26.1
LLY,1/30/14,0,1
ALXN,1/30/14,0,3.4
VIAB,1/30/14,0,3.8
MO,1/30/14,0,-1.9
DOV,1/30/14,0,0.5
HOG,1/30/14,0,3.7
RTN,1/30/14,0,8.6
UAA,1/30/14,0,10.1
NOC,1/30/14,0,9.2
CL,1/30/14,0,1.4
SHW,1/30/14,0,-11.4
OXY,1/30/14,0,3.1
HSY,1/30/14,0,0.1
CAH,1/30/14,0,7
COP,1/30/14,0,6
LLL,1/30/14,0,14
V,1/30/14,0,1.5
DGX,1/30/14,0,10.5
ZBH,1/30/14,0,2.5
MMM,1/30/14,0,0.3
IVZ,1/30/14,0,2.3
CELG,1/30/14,0,-0.5
UPS,1/30/14,0,0
CMS,1/30/14,0,0.3
PLD,1/30/14,0,1.7
XOM,1/30/14,0,0.1
BEN,1/30/14,0,3
GOOGL,1/30/14,1,-2.2
ALGN,1/30/14,1,18.9
RHI,1/30/14,1,1.9
CMG,1/30/14,1,0.4
AMZN,1/30/14,1,-26.5
WYNN,1/30/14,1,29.6
BCR,1/30/14,1,2.3
MCK,1/30/14,1,-21.4
MCHP,1/30/14,1,0.3
PKI,1/30/14,1,4.1
ESS,1/30/14,1,-0.7
EMN,1/30/14,1,8.5
WY,1/31/14,0,-3.6
JCI,1/31/14,0,4.5
SPG,1/31/14,0,1.6
MAT,1/31/14,0,-11.1
AON,1/31/14,0,2.1
NWL,1/31/14,0,2
LYB,1/31/14,0,50.6
NOV,1/31/14,0,12.3
TSN,1/31/14,0,12.9
D,1/31/14,0,-9.7
ABBV,1/31/14,0,-0.4
PCAR,1/31/14,0,1.4
MA,1/31/14,0,-5
AVY,1/31/14,0,1.3
CVX,1/31/14,0,0.1
PFG,2/3/14,1,2.6
TMK,2/3/14,1,0.4
EW,2/3/14,1,9.9
GGP,2/3/14,1,2.9
HOLX,2/3/14,1,8.3
ARE,2/3/14,1,0.6
APC,2/3/14,1,-16.3
HIG,2/3/14,1,5
YUM,2/3/14,1,8.2
CHD,2/3/14,1,-2.7
ETN,2/4/14,1,1.5
BDX,2/4/14,0,9.6
CNC,2/4/14,0,1
CME,2/4/14,0,-4.9
EMR,2/4/14,0,-0.3
KORS,2/4/14,0,29.2
XYL,2/4/14,0,7.7
BSX,2/4/14,0,2.4
IDXX,2/4/14,0,1.5
ADM,2/4/14,0,12
APTV,2/4/14,0,7.5
IP,2/4/14,0,-3.4
FIS,2/4/14,0,-2.6
SPGI,2/4/14,0,3.1
TDG,2/4/14,0,6.3
AMG,2/4/14,0,18
UDR,2/4/14,0,-1.7
HCA,2/4/14,0,7.2
CLX,2/4/14,0,-3
MAC,2/4/14,1,1.6
UNM,2/4/14,1,1.3
CERN,2/4/14,1,0.3
GILD,2/4/14,1,8.5
AMP,2/4/14,1,3.6
AFL,2/4/14,1,1
CHRW,2/4/14,1,-8.3
EQR,2/4/14,1,2.1
TWX,2/5/14,0,1.7
CTSH,2/5/14,0,0.7
HUM,2/5/14,0,-12.8
NDAQ,2/5/14,0,3.4
MRK,2/5/14,0,-0.7
EL,2/5/14,0,2.9
ADP,2/5/14,0,1.3
RL,2/5/14,0,2.5
CINF,2/5/14,1,-1.1
AKAM,2/5/14,1,-14.6
MTD,2/5/14,1,2
XL,2/5/14,1,22.7
KIM,2/5/14,1,-0.6
FISV,2/5/14,1,-2.6
SRCL,2/5/14,1,2.8
CBG,2/5/14,1,1.5
ALL,2/5/14,1,23.8
RE,2/5/14,1,24.2
MAA,2/5/14,1,5.4
PRU,2/5/14,1,-1.3
LNC,2/5/14,1,9.8
AIZ,2/5/14,1,-0.6
FMC,2/5/14,1,13.6
DIS,2/5/14,1,13.1
ANDV,2/5/14,1,-87.2
MRO,2/5/14,1,-15.4
ORLY,2/5/14,1,5.8
AET,2/6/14,0,-1.4
PPL,2/6/14,0,19.3
SNA,2/6/14,0,2.8
IT,2/6/14,0,-4.5
WEC,2/6/14,0,7
NBL,2/6/14,0,-15.1
CMI,2/6/14,0,-1.3
SEE,2/6/14,0,-8.6
ADS,2/6/14,0,2.4
GM,2/6/14,0,-22.6
FOXA,2/6/14,0,0.6
VMC,2/6/14,0,385.7
EXC,2/6/14,0,-6.5
K,2/6/14,0,1.2
ES,2/6/14,0,-2.6
AAP,2/6/14,0,15.8
PM,2/6/14,0,0.2
EXPE,2/6/14,1,8.2
ATVI,2/6/14,1,8.2
VRSN,2/6/14,1,9.1
RSG,2/6/14,1,14.2
AIV,2/6/14,1,1.1
NWSA,2/6/14,1,62.3
FTI,2/6/14,1,21.4
CI,2/7/14,0,-6.4
WYN,2/7/14,0,0.3
MCO,2/7/14,0,11.4
LH,2/7/14,0,-3
FLIR,2/7/14,0,-5.7
CBOE,2/7/14,0,7.4
L,2/10/14,0,-7.1
HAS,2/10/14,0,-8
MAS,2/10/14,1,-8.5
PXD,2/10/14,1,1.8
PCG,2/11/14,1,1.2
REGN,2/11/14,0,6.5
MOS,2/11/14,0,-18.7
CVS,2/11/14,0,0.8
HSIC,2/11/14,0,2.3
ZTS,2/11/14,0,5.3
MMC,2/11/14,0,1.4
IR,2/11/14,0,0.8
OMC,2/11/14,0,3.6
ETR,2/11/14,0,20.6
ICE,2/11/14,0,2.6
HCP,2/11/14,0,2.6
DVA,2/11/14,1,0.9
WU,2/11/14,1,-3.4
TRIP,2/11/14,1,0
FRT,2/11/14,1,-0.1
WLTW,2/11/14,1,-14.5
PKG,2/11/14,1,16.9
DE,2/12/14,0,18.3
INCY,2/12/14,0,-91.2
DPS,2/12/14,0,15.1
CTL,2/12/14,1,15.4
NTAP,2/12/14,1,5.6
MDLZ,2/12/14,1,-4.5
CBS,2/12/14,1,3
AMAT,2/12/14,1,2.7
CSCO,2/12/14,1,2.6
MET,2/12/14,1,5.9
NVDA,2/12/14,1,31.7
REG,2/12/14,1,3.3
NLSN,2/13/14,1,-0.1
IQV,2/13/14,0,6.2
EQT,2/13/14,0,-31.3
PEP,2/13/14,0,4.6
IFF,2/13/14,0,1.5
DISCA,2/13/14,0,2.2
TAP,2/13/14,0,-5.6
GT,2/13/14,0,16.7
APA,2/13/14,0,-13
BWA,2/13/14,0,11.1
O,2/13/14,0,0
AIG,2/13/14,1,19.2
A,2/13/14,1,1.4
EFX,2/13/14,1,-0.2
COTY,2/14/14,0,-4.4
SJM,2/14/14,0,-1.1
VFC,2/14/14,0,-2.5
SNI,2/14/14,0,-6.9
IPG,2/14/14,0,-4.3
VTR,2/14/14,0,0.4
DTE,2/14/14,0,5.3
CPB,2/14/14,0,4.7
NCLH,2/18/14,0,8.6
NI,2/18/14,0,1.5
XRAY,2/18/14,0,0
DUK,2/18/14,0,5.2
MDT,2/18/14,0,-0.1
KO,2/18/14,0,-0.6
WM,2/18/14,0,-7.4
GPC,2/18/14,0,6.4
FLR,2/18/14,1,2.7
ADI,2/18/14,1,0.8
FLS,2/18/14,1,3.9
CF,2/18/14,1,13
HST,2/19/14,0,5.4
GRMN,2/19/14,0,23.2
HCN,2/19/14,0,1.6
MGM,2/19/14,0,2850
XEC,2/19/14,0,-3.8
DVN,2/19/14,0,1.8
SNPS,2/19/14,1,13.5
MAR,2/19/14,1,-0.8
ALLE,2/19/14,1,-7.2
WMB,2/19/14,1,3.3
CXO,2/19/14,1,-4.1
HRL,2/20/14,1,0
PWR,2/20/14,0,16.6
AGN,2/20/14,0,3.9
PDCO,2/20/14,0,0
WMT,2/20/14,0,0.8
PEG,2/20/14,0,9.1
SCG,2/20/14,0,-6.4
PCLN,2/20/14,1,-10.9
INTU,2/20/14,1,25
MHK,2/20/14,1,2.6
JWN,2/20/14,1,2.5
HPQ,2/20/14,1,6.5
EXR,2/20/14,1,4.4
ESRX,2/20/14,1,0.2
COG,2/20/14,1,2.9
PSA,2/20/14,1,2.8
NEM,2/20/14,1,-25
DISH,2/21/14,0,60
AEE,2/21/14,0,46.2
CHTR,2/21/14,0,-25.2
ECL,2/21/14,0,-0.7
PNW,2/21/14,0,15.8
VNO,2/24/14,1,86.4
OKE,2/24/14,1,59.8
EOG,2/24/14,1,3.4
DLR,2/24/14,1,10.1
LNT,2/25/14,0,6.2
HD,2/25/14,0,2.5
AMT,2/25/14,0,-1.6
M,2/25/14,0,6.4
FE,2/25/14,0,7.8
EXPD,2/25/14,0,-11.6
AVGO,2/25/14,1,-21.4
EIX,2/25/14,1,20.7
EVHC,2/25/14,1,5.3
VRSK,2/25/14,1,1.1
NFX,2/25/14,1,-13.8
RRC,2/25/14,1,9.1
LOW,2/26/14,0,0.3
AES,2/26/14,0,-1.4
CHK,2/26/14,0,-32.5
DLTR,2/26/14,0,-2.9
TGT,2/26/14,0,4.8
CNP,2/26/14,0,-6.8
TJX,2/26/14,0,-1.8
ADSK,2/26/14,1,18
LB,2/26/14,1,2.3
AWK,2/26/14,1,2
HLT,2/27/14,0,-33.3
BBY,2/27/14,0,23.1
MYL,2/27/14,0,3.7
LKQ,2/27/14,0,-4.6
KSS,2/27/14,0,1.5
ANSS,2/27/14,0,11.6
SRE,2/27/14,0,15.7
MNST,2/27/14,1,-0.4
ROST,2/27/14,1,0.2
GPS,2/27/14,1,3.2
CRM,2/27/14,1,14.8
UHS,2/27/14,1,-4.8
NRG,2/28/14,0,317.4
BRK/A,3/1/14,0,4.2
AZO,3/4/14,0,1.3
BF/B,3/5/14,0,7.9
COST,3/6/14,0,-10
KR,3/6/14,0,7.1
COO,3/6/14,1,1
HRB,3/6/14,1,-593.7
FL,3/7/14,0,8.6
DG,3/13/14,0,-0.3
ULTA,3/13/14,1,2.3
ORCL,3/18/14,1,-3
ADBE,3/18/14,1,19
GIS,3/19/14,0,0.8
FDX,3/19/14,0,-15.8
CTAS,3/19/14,1,-0.6
LEN,3/20/14,0,34.4
CAG,3/20/14,0,3.7
NKE,3/20/14,1,5
TIF,3/21/14,0,-3
DRI,3/21/14,0,0
MKC,3/25/14,0,7.1
WBA,3/25/14,0,-2.4
CCL,3/25/14,0,100
PVH,3/25/14,1,0.7
PAYX,3/26/14,1,4.5
SIG,3/27/14,0,1.5
ACN,3/27/14,0,-0.6
RHT,3/27/14,1,4.3
MON,4/2/14,0,2.8
AYI,4/2/14,0,-10.1
GPN,4/3/14,1,0.8
MU,4/3/14,1,12.9
KMX,4/4/14,0,-18.1
AJG,4/6/14,1,81
STZ,4/9/14,0,6.4
PGR,4/9/14,0,6.5
FAST,4/11/14,0,1.1
JPM,4/11/14,0,-11.2
WFC,4/11/14,0,8.8
C,4/14/14,0,14.2
MTB,4/14/14,0,0
JBHT,4/14/14,0,-4.9
CMA,4/15/14,0,1.2
KO,4/15/14,0,-0.2
JNJ,4/15/14,0,4.3
NTRS,4/15/14,0,-3.4
SCHW,4/15/14,0,9.1
CSX,4/15/14,1,8.1
INTC,4/15/14,1,3.6
HBAN,4/16/14,0,11.8
PNC,4/16/14,0,5.9
BAC,4/16/14,0,27.3
USB,4/16/14,0,-0.1
GWW,4/16/14,0,3.9
ABT,4/16/14,0,14.8
GOOGL,4/16/14,1,-0.4
DHR,4/16/14,1,1.3
KSU,4/16/14,1,6.4
KMI,4/16/14,1,-1.1
COF,4/16/14,1,12.2
AXP,4/16/14,1,2.5
IBM,4/16/14,1,0
URI,4/16/14,1,26.9
PBCT,4/16/14,1,-2.6
ALB,4/16/14,1,1.2
SLB,4/17/14,0,0.7
BBT,4/17/14,0,-0.4
UNH,4/17/14,0,1
MAT,4/17/14,0,-141.1
BLK,4/17/14,0,7.7
FITB,4/17/14,0,3.6
KEY,4/17/14,0,12
GE,4/17/14,0,3.8
MS,4/17/14,0,13.7
PM,4/17/14,0,2.3
BAX,4/17/14,0,9.5
DOV,4/17/14,0,-0.5
SHW,4/17/14,0,4.8
SNA,4/17/14,0,5
PEP,4/17/14,0,7.7
HON,4/17/14,0,2.2
COL,4/17/14,0,1.3
ADS,4/17/14,0,2.8
GS,4/17/14,0,15.1
UNP,4/17/14,0,0.3
CMG,4/17/14,0,-8.1
PPG,4/17/14,0,8
AMD,4/17/14,1,400
STI,4/21/14,0,9.9
HAS,4/21/14,0,42.9
HAL,4/21/14,0,2.8
KMB,4/21/14,0,0.5
NFLX,4/21/14,1,6.8
ZION,4/21/14,1,-25.8
CDNS,4/21/14,1,1.5
RF,4/22/14,0,7.7
CNC,4/22/14,0,90.7
BK,4/22/14,0,6.5
IPG,4/22/14,0,37.5
TRV,4/22/14,0,36.9
UTX,4/22/14,0,3.7
HOG,4/22/14,0,11.8
SPG,4/22/14,0,6.1
XRX,4/22/14,0,13.9
AOS,4/22/14,0,1.9
OMC,4/22/14,0,1.4
PNR,4/22/14,0,0.3
LMT,4/22/14,0,13.2
MCD,4/22/14,0,-2.3
ITW,4/22/14,0,3.3
PLD,4/22/14,0,2.4
GPC,4/22/14,0,0.1
