Ticker,Date,start,end,surprise
MMM,07/25/2017,6/12/2017,9/6/2017,-0.4
ABT,07/20/2017,6/7/2017,8/31/2017,2.5
ABBV,07/28/2017,6/15/2017,9/11/2017,1.5
ACN,03/23/2017,2/8/2017,5/5/2017,2.4
ATVI,08/03/2017,6/21/2017,9/15/2017,41.4
AYI,04/04/2017,2/21/2017,5/17/2017,-3.5
ADBE,06/20/2017,5/8/2017,8/2/2017,7.8
AAP,08/15/2017,7/3/2017,9/27/2017,-4.8
AMD,07/25/2017,6/12/2017,9/6/2017,1900.00
AES,08/08/2017,6/26/2017,9/20/2017,20.2
AET,08/03/2017,6/21/2017,9/15/2017,45.9
AMG,07/31/2017,6/16/2017,9/12/2017,2.7
AFL,07/27/2017,6/14/2017,9/8/2017,12
A,05/22/2017,4/7/2017,7/5/2017,19.8
APD,04/27/2017,3/15/2017,6/9/2017,3.8
AKAM,07/25/2017,6/12/2017,9/6/2017,2.6
ALK,07/26/2017,6/13/2017,9/7/2017,-0.3
ALB,08/07/2017,6/23/2017,9/19/2017,2.4
ARE,07/31/2017,6/16/2017,9/12/2017,0.7
ALXN,07/27/2017,6/14/2017,9/8/2017,24.3
ALGN,07/27/2017,6/14/2017,9/8/2017,16.8
ALLE,07/27/2017,6/14/2017,9/8/2017,10.8
AGN,08/03/2017,6/21/2017,9/15/2017,2.6
ADS,07/20/2017,6/7/2017,8/31/2017,3
LNT,08/03/2017,6/21/2017,9/15/2017,7.6
ALL,08/01/2017,6/19/2017,9/13/2017,58.8
GOOGL,07/24/2017,6/9/2017,9/5/2017,12.6
MO,07/27/2017,6/14/2017,9/8/2017,-1
AMZN,07/27/2017,6/14/2017,9/8/2017,-71.9
AEE,08/04/2017,6/22/2017,9/18/2017,12
AAL,07/28/2017,6/15/2017,9/11/2017,2.6
AEP,07/27/2017,6/14/2017,9/8/2017,-8.1
AXP,07/19/2017,6/6/2017,8/30/2017,2.2
AIG,08/02/2017,6/20/2017,9/14/2017,27.9
AMT,07/27/2017,6/14/2017,9/8/2017,4.8
AWK,08/02/2017,6/20/2017,9/14/2017,-7.6
AMP,07/25/2017,6/12/2017,9/6/2017,6.7
ABC,05/04/2017,3/22/2017,6/16/2017,5.4
AME,08/02/2017,6/20/2017,9/14/2017,4.3
AMGN,07/25/2017,6/12/2017,9/6/2017,5.2
APH,07/26/2017,6/13/2017,9/7/2017,12.3
APC,07/24/2017,6/9/2017,9/5/2017,-131.9
ADI,05/31/2017,4/18/2017,7/13/2017,22
ANDV,08/08/2017,6/26/2017,9/20/2017,22.4
ANSS,08/02/2017,6/20/2017,9/14/2017,8.3
ANTM,07/26/2017,6/13/2017,9/7/2017,4.2
AOS,07/26/2017,6/13/2017,9/7/2017,0.1
AON,08/04/2017,6/22/2017,9/18/2017,5.8
APA,08/03/2017,6/21/2017,9/15/2017,-900
AIV,07/27/2017,6/14/2017,9/8/2017,3.2
AAPL,05/02/2017,3/20/2017,6/14/2017,3.9
AMAT,05/18/2017,4/5/2017,6/30/2017,3.3
ADM,08/01/2017,6/19/2017,9/13/2017,10.5
ARNC,07/24/2017,6/9/2017,9/5/2017,21.7
AJG,07/27/2017,6/14/2017,9/8/2017,0.2
AIZ,08/01/2017,6/19/2017,9/13/2017,2
T,07/25/2017,6/12/2017,9/6/2017,7.3
